guide_id,disaster_type,title,content,easy_content,keywords,source
126,호우/침수,호우특보 예보시 행동요령,"- 저지대나 상습 침수지역, 산사태 위험지역, 지하 공간이나 붕괴 우려가 있는 노후주택·건물 등에서는 안전한 곳으로 이동합니다.","저지대나 상습 침수지역, 산사태 위험지역, 지하 공간이나 붕괴 우려가 있는 노후주택·건물 등에서는 안전한 곳으로 이동합니다.",홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
127,호우/침수,호우특보 중 행동요령,"- 정전이 발생한 경우 양초를 사용하지 말고 휴대용 랜턴, 휴대폰 등을 사용합니다.","정전이 발생한 경우 양초를 사용하지 말고 휴대용 랜턴, 휴대폰 등을 사용합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
128,호우/침수,호우특보 중 행동요령,"- 주변에 연세가 많거나 홀로계신 어르신, 어린이, 장애인 등 대피에 어려움이 있는 분들은 안전하게 대피할 수 있도록 돕습니다.","주변에 연세가 많거나 홀로계신 어르신, 어린이, 장애인 등 대피에 어려움이 있는 분들은 안전하게 대피할 수 있도록 돕습니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
129,호우/침수,호우 사전준비,"- 주변의 배수로, 빗물받이는 수시로 청소를 실시하고 비탈면, 옹벽, 축대 등이 위험할 경우 정비하거나 시·군·구청에 신고합니다.","주변의 배수로, 빗물받이는 수시로 청소를 실시하고 비탈면, 옹벽, 축대 등이 위험할 경우 정비하거나 시·군·구청에 신고합니다.",홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
130,호우/침수,호우 사전준비,"- 지역의 대피 장소와 안전한 이동 방법, 대피요령을 미리 숙지하고, 어린이들에게 알려 주어야 합니다. * 국민재난안전포털(www.safekorea.go.kr), 안전디딤돌 앱 등을 활용","지역의 대피 장소와 안전한 이동 방법, 대피요령을 미리 숙지하고, 어린이들에게 알려 주어야 합니다. * 국민재난안전포털(www.safekorea.go.kr), 안전디딤돌 앱 등을 활용",홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
131,호우/침수,호우특보 중 행동요령,"- 차량은 속도를 줄여 운행하고, 개울가, 하천변, 해안가 등 급류에 휩쓸릴 수 있는 지역이나 침수 위험지역에는 접근하지 말고 주변에 있는 사람들에게 알려 줍니다.","차량은 속도를 줄여 운행하고, 개울가, 하천변, 해안가 등 급류에 휩쓸릴 수 있는 지역이나 침수 위험지역에는 접근하지 말고 주변에 있는 사람들에게 알려 줍니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
132,호우/침수,호우 사전준비,"- 차량이 있는 경우에는 연료를 미리 채워 두고, 차량이 없을 경우에는 차량이 있는 가까운 이웃과 같이 이동할 수 있도록 미리 약속해 둡니다.","차량이 있는 경우에는 연료를 미리 채워 두고, 차량이 없을 경우에는 차량이 있는 가까운 이웃과 같이 이동할 수 있도록 미리 약속해 둡니다.",홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
133,호우/침수,호우특보 예보시 행동요령,"- 침수가 예상되는 아파트 지하주차장, 건물 등에서는 기상 특보가 모래 주머니, 물막이 판 등을 이용하여 피해를 예방합니다.","침수가 예상되는 아파트 지하주차장, 건물 등에서는 기상 특보가 모래 주머니, 물막이 판 등을 이용하여 피해를 예방합니다.",홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
134,호우/침수,호우 이후 행동요령,- 침수된 도로나 교량은 파손되었을 수 있으므로 건너지 않습니다.,침수된 도로나 교량은 파손되었을 수 있으므로 건너지 않습니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
135,호우/침수,호우 이후 행동요령,- 침수된 음식이나 재료는 식중독의 위험이 있으므로 사용하지 않습니다.,침수된 음식이나 재료는 식중독의 위험이 있으므로 사용하지 않습니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
136,호우/침수,호우 이후 행동요령,"- 침수된 주택은 가스와 전기차단기가 내려가 있는지 확인하고, 한국가스안전공사(1544-4500)와 한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.","침수된 주택은 가스와 전기차단기가 내려가 있는지 확인하고, 한국가스안전공사(1544-4500)와 한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.",홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
137,호우/침수,호우특보 중 행동요령,"- 침수지역, 산간·계곡 등 위험지역에 있거나 대피 권고를 받았을 경우에는 주변에 있는 사람들과 함께 즉시 안전한 지역으로 대피합니다.","침수지역, 산간·계곡 등 위험지역에 있거나 대피 권고를 받았을 경우에는 주변에 있는 사람들과 함께 즉시 안전한 지역으로 대피합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
138,호우/침수,호우특보 중 행동요령,"- 특히, 침수된 도로, 지하차도, 교량 등은 사람과 차량의 통행을 엄격히 금지하고 주변에 있는 사람들에게 알려 진입하지 않도록 합니다.","특히, 침수된 도로, 지하차도, 교량 등은 사람과 차량의 통행을 엄격히 금지하고 주변에 있는 사람들에게 알려 진입하지 않도록 합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
139,호우/침수,호우 이후 행동요령,- 파손된 사유시설을 보수 또는 복구할 때에는 반드시 사진을 찍어 둡니다.,파손된 사유시설을 보수 또는 복구할 때에는 반드시 사진을 찍어 둡니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
140,호우/침수,호우 이후 행동요령,"- 파손된 시설물(주택, 상하수도, 축대, 도로 등)은 있을 경우에는 가까운 시·군·구청이나 행정복지센터(주민센터)에 신고합니다.","파손된 시설물(주택, 상하수도, 축대, 도로 등)은 있을 경우에는 가까운 시·군·구청이나 행정복지센터(주민센터)에 신고합니다.",홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
141,호우/침수,호우 이후 행동요령,- 하천 제방은 무너질 수 있으니 가까이 가지 않습니다.,하천 제방은 무너질 수 있으니 가까이 가지 않습니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
142,호우/침수,호우특보 예보시 행동요령,"- 하천이나 해변, 저지대에 주차된 차량은 안전한 곳으로 이동합니다.","하천이나 해변, 저지대에 주차된 차량은 안전한 곳으로 이동합니다.",홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
143,호우/침수,호우 이후 행동요령,"- 호우로 피해를 입은 주택 등은 가스가 누출될 수 있으므로 창문을 열어 충분히 환기하고, 성냥불이나 라이터는 환기 전까지 사용하지 않습니다.","호우로 피해를 입은 주택 등은 가스가 누출될 수 있으므로 창문을 열어 충분히 환기하고, 성냥불이나 라이터는 환기 전까지 사용하지 않습니다.",홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
144,호우/침수,호우 이후 행동요령,1. 가족과 지인의 안전 여부를 주위 사람들과 함께 확인합니다.,1. 가족과 지인의 안전 여부를 주위 사람들과 함께 확인합니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
145,호우/침수,호우 사전준비,1. 과거에 발생했던 내 지역의 정보는 미리 확인하고 가족이나 이웃과 함께 공유합니다.,1. 과거에 발생했던 내 지역의 정보는 미리 확인하고 가족이나 이웃과 함께 공유합니다.,홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
146,호우/침수,호우특보 중 행동요령,"1. 나와 가족, 지인들의 안전을 위해 외출은 자제하고 정보를 지속적으로 청취하며 정보가 필요한 사람들과 공유합니다.","1. 나와 가족, 지인들의 안전을 위해 외출은 자제하고 정보를 지속적으로 청취하며 정보가 필요한 사람들과 공유합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
147,호우/침수,호우특보 예보시 행동요령,1. 호우예보지역과 시간을 주변에 있는 사람들과 함께 공유합니다.,1. 호우예보지역과 시간을 주변에 있는 사람들과 함께 공유합니다.,홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
148,호우/침수,호우특보 중 행동요령,"2. 건물, 집안 등 실내에서의 안전수칙을 미리 알아두고 가족과 함께 확인합니다.","2. 건물, 집안 등 실내에서의 안전수칙을 미리 알아두고 가족과 함께 확인합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
149,호우/침수,호우특보 예보시 행동요령,"2. 산간·계곡, 하천, 방파제 등 위험지역에서는 주변에 있는 사람들과 함께 안전한 곳으로 이동합니다.","2. 산간·계곡, 하천, 방파제 등 위험지역에서는 주변에 있는 사람들과 함께 안전한 곳으로 이동합니다.",홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
150,호우/침수,호우 사전준비,2. 재난정보를 수신할 수 있도록 가족이나 이웃과 함께 준비합니다.,2. 재난정보를 수신할 수 있도록 가족이나 이웃과 함께 준비합니다.,홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
151,호우/침수,호우 이후 행동요령,2. 호우로 인한 피해 여부를 주변에 있는 사람들과 함께 확인합니다.,2. 호우로 인한 피해 여부를 주변에 있는 사람들과 함께 확인합니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
152,호우/침수,호우 사전준비,3. 가족이나 이웃과 함께 대피방법 등에 대한 약속을 미리 정합니다.,3. 가족이나 이웃과 함께 대피방법 등에 대한 약속을 미리 정합니다.,홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
153,호우/침수,호우특보 중 행동요령,"3. 위험지역은 접근하지 말고, 즉시 안전한 지역으로 주변에 있는 사람들과 함께 대피합니다.","3. 위험지역은 접근하지 말고, 즉시 안전한 지역으로 주변에 있는 사람들과 함께 대피합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
154,호우/침수,호우 이후 행동요령,3. 주변에 있는 사람들과 함께 호우로 인한 2차 피해를 방지합니다.,3. 주변에 있는 사람들과 함께 호우로 인한 2차 피해를 방지합니다.,홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
155,호우/침수,호우특보 예보시 행동요령,3. 차량이나 시설물 등의 보호를 위해 가족과 지역주민이 함께 미리 준비합니다.,3. 차량이나 시설물 등의 보호를 위해 가족과 지역주민이 함께 미리 준비합니다.,홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
156,호우/침수,호우특보 예보시 행동요령,4. 가족과 함께 비상용품을 준비하여 재난 발생에 대비합니다.,4. 가족과 함께 비상용품을 준비하여 재난 발생에 대비합니다.,홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
157,호우/침수,호우 사전준비,4. 재난이 발생할 경우를 대비하여 가족과 함께 비상용품을 미리 준비합니다.,4. 재난이 발생할 경우를 대비하여 가족과 함께 비상용품을 미리 준비합니다.,홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
158,호우/침수,호우특보 예보시 행동요령,5. 외출은 자제하고 연세 많은 어르신 등의 안부를 수시로 확인합니다.,5. 외출은 자제하고 연세 많은 어르신 등의 안부를 수시로 확인합니다.,홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
159,호우/침수,호우 사전준비,5. 재난에 대비한 지속적인 관심과 정비를 함께 합니다.,5. 재난에 대비한 지속적인 관심과 정비를 함께 합니다.,홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
160,호우/침수,호우특보 예보시 행동요령,"TV, 라디오, 인터넷 등에서 호우특보가 예보된 때에는 거주 지역에 영향을 주는 시기를 미리 파악하고, 호우가 발생하기 전에 가족이나 지역주민과 함께 피해를 예방하기 위해 필요한 조치를 합니다.","TV, 라디오, 인터넷 등에서 호우특보가 예보된 때에는 거주 지역에 영향을 주는 시기를 미리 파악하고, 호우가 발생하기 전에 가족이나 지역주민과 함께 피해를 예방하기 위해 필요한 조치를 합니다.",홍수 호우 호우특보 예보시 행동요령 호우/침수,자연재난 국민행동요령
161,호우/침수,홍수,집중호우 대비 안전수칙(40초 스팟),집중호우 대비 안전수칙(40초 스팟),홍수 호우  호우/침수,자연재난 국민행동요령
162,호우/침수,호우특보 중 행동요령,"호우가 시작된 때에는 신속히 안전한 곳으로 대피하고, 외출을 삼가며 이웃이나 가족과의 연락을 통해 안전 여부를 확인합니다.","호우가 시작된 때에는 신속히 안전한 곳으로 대피하고, 외출을 삼가며 이웃이나 가족과의 연락을 통해 안전 여부를 확인합니다.",홍수 호우 호우특보 중 행동요령 호우/침수,자연재난 국민행동요령
163,호우/침수,호우 이후 행동요령,"호우가 지나간 후에는 이웃 등 주변의 피해 상황을 확인하고, 가까운 행복복지센터 등에 피해를 신고하여 보수·보강을 하도록 합니다.","호우가 지나간 후에는 이웃 등 주변의 피해 상황을 확인하고, 가까운 행복복지센터 등에 피해를 신고하여 보수·보강을 하도록 합니다.",홍수 호우 호우 이후 행동요령 호우/침수,자연재난 국민행동요령
164,호우/침수,호우 사전준비,"호우는 하천 범람, 산사태, 침수 등을 통해 인명피해와 재산피해를 발생시킬 수 있기 때문에 가족이나 이웃과 함께 대비합니다.","호우는 하천 범람, 산사태, 침수 등을 통해 인명피해와 재산피해를 발생시킬 수 있기 때문에 가족이나 이웃과 함께 대비합니다.",홍수 호우 호우 사전준비 호우/침수,자연재난 국민행동요령
165,강풍,강풍대비 사전준비,간판이나 교회 철탑과 같은 옥외 설치물의 경우 강풍으로 인한 파손 시 2차 피해를 초래할 수 있으므로 강풍 발생 전 반드시 고정하거나 보강합니다.,간판이나 교회 철탑과 같은 옥외 설치물의 경우 강풍으로 인한 파손 시 2차 피해를 초래할 수 있으므로 강풍 발생 전 반드시 고정하거나 보강합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
166,강풍,강풍 관련 정보,"강풍 경보 : 육상에서 풍속 21m/s(75.6km/h) 이상 또는 순간풍속 26m/s(93.6km/h) 이상, 다만 산지는 풍속 24m/s(86.4km/h)이상 또는 순간풍속 30m/s(108km/h)이상이 예상될 때","강풍 경보 : 육상에서 풍속 21m/s(75.6km/h) 이상 또는 순간풍속 26m/s(93.6km/h) 이상, 다만 산지는 풍속 24m/s(86.4km/h)이상 또는 순간풍속 30m/s(108km/h)이상이 예상될 때",강풍 강풍 강풍 관련 정보 강풍,자연재난 국민행동요령
167,강풍,강풍 발생시,"강풍 발생 시 인접한 차로의 차와 안전한 거리를 유지하고, 강한 돌풍은 차를 차선 밖으로 밀어낼 수 있으므로 주의합니다.","강풍 발생 시 인접한 차로의 차와 안전한 거리를 유지하고, 강한 돌풍은 차를 차선 밖으로 밀어낼 수 있으므로 주의합니다.",강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
168,강풍,강풍 발생시,강풍 발생 시 지붕 위나 바깥에서의 작업은 위험하니 자제하고 가급적 집 안팎의 전기 수리도 하지 않습니다.,강풍 발생 시 지붕 위나 바깥에서의 작업은 위험하니 자제하고 가급적 집 안팎의 전기 수리도 하지 않습니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
169,강풍,강풍대비 사전준비,강풍 발생 전 시·군·구청에 연락하여 집 근처의 죽은 나무나 가지를 사전에 제거합니다.,강풍 발생 전 시·군·구청에 연락하여 집 근처의 죽은 나무나 가지를 사전에 제거합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
170,강풍,강풍 발생시,"강풍 발생으로 전력선이 차량에 닿는 경우, 차 안에 머무르면서 차의 금속 부분에 닿지 않도록 주의하고 주위 사람들에게 위험을 알리고 119에 연락하여 조치를 취하도록 합니다.","강풍 발생으로 전력선이 차량에 닿는 경우, 차 안에 머무르면서 차의 금속 부분에 닿지 않도록 주의하고 주위 사람들에게 위험을 알리고 119에 연락하여 조치를 취하도록 합니다.",강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
171,강풍,강풍 관련 정보,"강풍 주의보 : 육상에서 풍속 14m/s(50.4km/h)이상 또는 순간풍속 20m/s(72km/h)이상, 다만 산지는 풍속 17m/s(61.2km/h)이상 또는 순간풍속 25m/s(90km/h)이상이 예상될 때","강풍 주의보 : 육상에서 풍속 14m/s(50.4km/h)이상 또는 순간풍속 20m/s(72km/h)이상, 다만 산지는 풍속 17m/s(61.2km/h)이상 또는 순간풍속 25m/s(90km/h)이상이 예상될 때",강풍 강풍 강풍 관련 정보 강풍,자연재난 국민행동요령
172,강풍,강풍대비 사전준비,강풍에 날아갈 가능성이 있는 외부의 모든 물건들은 강풍 발생 전 제거하거나 실내로 안전하게 이동합니다.,강풍에 날아갈 가능성이 있는 외부의 모든 물건들은 강풍 발생 전 제거하거나 실내로 안전하게 이동합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
173,강풍,강풍대비 사전준비,강풍에 노출되는 전선들은 누전이나 감전사고가 발생하지 않도록 전선 연결 부위를 사전에 점검하고 필요할 경우 교체 합니다.,강풍에 노출되는 전선들은 누전이나 감전사고가 발생하지 않도록 전선 연결 부위를 사전에 점검하고 필요할 경우 교체 합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
174,강풍,강풍,강풍에 따른 피해예방 및 행동요령,강풍에 따른 피해예방 및 행동요령,강풍 강풍  강풍,자연재난 국민행동요령
175,강풍,강풍 발생시,강풍으로 파손된 전기시설 등 위험 상황을 발견했을 때에는 감전 위험이 있으니 접근하거나 만지지 말고 119나 시·군?구청에 연락하여 조치를 취하도록 합니다.,강풍으로 파손된 전기시설 등 위험 상황을 발견했을 때에는 감전 위험이 있으니 접근하거나 만지지 말고 119나 시·군?구청에 연락하여 조치를 취하도록 합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
176,강풍,강풍 발생시,강풍이 지나간 후 땅바닥에 떨어진 전깃줄에 접근하거나 만지지 않습니다.,강풍이 지나간 후 땅바닥에 떨어진 전깃줄에 접근하거나 만지지 않습니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
177,강풍,강풍 관련 정보,"강풍이란 : 바람이 일정속도 이상으로 발생하여 인명 및 재산 피해를 유발하는 재해를 말하며, 육상에서 풍속 14m/s이상(50.4km/h) 또는 순간풍속 20m/s(72km/h)이상이 예상될 때 주의보를, 육상에서 풍속 21m/s(75.6km/h)이상 또는 순간 풍속 26m/s(93.6km/h)이상이 예상될 때 경보를 발령합니다.","강풍이란 : 바람이 일정속도 이상으로 발생하여 인명 및 재산 피해를 유발하는 재해를 말하며, 육상에서 풍속 14m/s이상(50.4km/h) 또는 순간풍속 20m/s(72km/h)이상이 예상될 때 주의보를, 육상에서 풍속 21m/s(75.6km/h)이상 또는 순간 풍속 26m/s(93.6km/h)이상이 예상될 때 경보를 발령합니다.",강풍 강풍 강풍 관련 정보 강풍,자연재난 국민행동요령
178,강풍,강풍 발생시,공사장 작업이나 크레인 운행 등 야외작업을 중지합니다.,공사장 작업이나 크레인 운행 등 야외작업을 중지합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
179,강풍,강풍 발생시,공사장과 같이 날아오는 물건이 있거나 낙하물의 위험이 많은 곳은 가까이 가지 않도록 합니다.,공사장과 같이 날아오는 물건이 있거나 낙하물의 위험이 많은 곳은 가까이 가지 않도록 합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
180,강풍,강풍 발생시,"노약자, 장애인 등이 거주하는 가정의 경우에는 비상시 대피 방법과 연락 방법을 가족 또는 이웃 등과 사전에 의논합니다.","노약자, 장애인 등이 거주하는 가정의 경우에는 비상시 대피 방법과 연락 방법을 가족 또는 이웃 등과 사전에 의논합니다.",강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
181,강풍,강풍대비 사전준비,노후된 창문은 강풍으로 휘어지거나 파손될 위험이 있으니 사전에 교체 또는 보강합니다.,노후된 창문은 강풍으로 휘어지거나 파손될 위험이 있으니 사전에 교체 또는 보강합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
182,강풍,강풍 발생시,대피 시에는 쓰러질 위험이 있는 나무 밑이나 전신주 밑을 피하고 안전한 건물을 이용합니다.,대피 시에는 쓰러질 위험이 있는 나무 밑이나 전신주 밑을 피하고 안전한 건물을 이용합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
183,강풍,강풍대비 사전준비,문과 창문을 잘 닫아 움직이지 않도록 하고 안전을 위해 집 안에서 머무르도록 합니다.,문과 창문을 잘 닫아 움직이지 않도록 하고 안전을 위해 집 안에서 머무르도록 합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
184,강풍,강풍 발생시,바닷가는 파도에 휩쓸릴 위험이 있으니 나가지 않습니다.,바닷가는 파도에 휩쓸릴 위험이 있으니 나가지 않습니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
185,강풍,강풍대비 사전준비,바람에 의해 농약과 같은 “위험물”이 유출되지 않도록 안전하게 보관합니다.,바람에 의해 농약과 같은 “위험물”이 유출되지 않도록 안전하게 보관합니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
186,강풍,강풍대비 사전준비,"비닐하우스의 경우 취약 부분을 사전에 보강하고, 주위의 물건이 강풍에 날아와 피해를 입지 않도록 주변을 미리 정리합니다","비닐하우스의 경우 취약 부분을 사전에 보강하고, 주위의 물건이 강풍에 날아와 피해를 입지 않도록 주변을 미리 정리합니다",강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
187,강풍,강풍 발생시,손전등을 미리 준비하여 강풍에 의한 정전 발생에 대비하고 유리창이 깨지면 파편이 흩어질 수 있으니 신발이나 슬리퍼를 신어 다치지 않도록 합니다.,손전등을 미리 준비하여 강풍에 의한 정전 발생에 대비하고 유리창이 깨지면 파편이 흩어질 수 있으니 신발이나 슬리퍼를 신어 다치지 않도록 합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
188,강풍,강풍 발생시,운전 중 강풍이 발생할 경우에는 반대편에서 오는 차량을 주의하고 가급적 속도를 줄여 사고를 줄이기 위한 방어운전을 합니다.,운전 중 강풍이 발생할 경우에는 반대편에서 오는 차량을 주의하고 가급적 속도를 줄여 사고를 줄이기 위한 방어운전을 합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
189,강풍,강풍 발생시,유리창 근처는 유리가 깨지면 다칠 위험이 있으므로 피하도록 합니다.,유리창 근처는 유리가 깨지면 다칠 위험이 있으므로 피하도록 합니다.,강풍 강풍 강풍 발생시 강풍,자연재난 국민행동요령
190,강풍,강풍대비 사전준비,유리창 파손 시 유리 파편에 의한 피해를 줄이기 위해 창문에 유리창 파손 대비 안전필름을 붙입니다.,유리창 파손 시 유리 파편에 의한 피해를 줄이기 위해 창문에 유리창 파손 대비 안전필름을 붙입니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
191,강풍,강풍대비 사전준비,"창문틀과 유리창 사이가 벌어져 있으면 유리창 파손의 위험이 높아지므로, 창문틀과 유리창 사이에 틈새가 없도록 보강해 주고 테이프를 붙일 때에는 유리가 창틀에 고정되어 흔들리지 않도록 합니다.","창문틀과 유리창 사이가 벌어져 있으면 유리창 파손의 위험이 높아지므로, 창문틀과 유리창 사이에 틈새가 없도록 보강해 주고 테이프를 붙일 때에는 유리가 창틀에 고정되어 흔들리지 않도록 합니다.",강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
192,강풍,강풍대비 사전준비,해안지역에서는 파도에 휩쓸릴 위험이 있으니 바닷가로 나가지 않습니다.,해안지역에서는 파도에 휩쓸릴 위험이 있으니 바닷가로 나가지 않습니다.,강풍 강풍 강풍대비 사전준비 강풍,자연재난 국민행동요령
193,대설,대설 사전준비,"- TV, 라디오, 인터넷 등으로 기상정보를 미리 파악하고, 스마트폰에 안전디딤돌 앱을 설치하여 대설, 풍랑 등 기상특보나 눈사태, 시설물 붕괴 등 재난 예·경보를 수신할 수 있도록 가족이나 이웃과 함께 합니다.","TV, 라디오, 인터넷 등으로 기상정보를 미리 파악하고, 스마트폰에 안전디딤돌 앱을 설치하여 대설, 풍랑 등 기상특보나 눈사태, 시설물 붕괴 등 재난 예·경보를 수신할 수 있도록 가족이나 이웃과 함께 합니다.",대설 대설 대설 사전준비 대설,자연재난 국민행동요령
194,대설,대설 예보 시,"- TV, 라디오, 인터넷, 스마트폰 등으로 기상상황을 미리 파악하여 언제, 어떻게, 누구와 무엇을 할 지를 준비합니다.","TV, 라디오, 인터넷, 스마트폰 등으로 기상상황을 미리 파악하여 언제, 어떻게, 누구와 무엇을 할 지를 준비합니다.",대설 대설 대설 예보 시 대설,자연재난 국민행동요령
195,대설,대설 이후,"- 가스, 전기가 차단되었을 때, 한국가스안전공사(1544-4500)와한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.","가스, 전기가 차단되었을 때, 한국가스안전공사(1544-4500)와한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.",대설 대설 대설 이후 대설,자연재난 국민행동요령
196,대설,대설 이후,"- 가족 및 지인과 연락하여 안전 여부를 확인하고, 연락이 되지 않고 실종이 의심되는 경우에는 가까운 경찰서에 신고합니다.","가족 및 지인과 연락하여 안전 여부를 확인하고, 연락이 되지 않고 실종이 의심되는 경우에는 가까운 경찰서에 신고합니다.",대설 대설 대설 이후 대설,자연재난 국민행동요령
197,대설,대설 사전준비,- 가족이나 이웃이 각각 이동할 때를 대비하여 다시 만날 장소를 사전에 정합니다.,가족이나 이웃이 각각 이동할 때를 대비하여 다시 만날 장소를 사전에 정합니다.,대설 대설 대설 사전준비 대설,자연재난 국민행동요령
198,대설,대설 이후,"- 고립된 지역에 있을 경우에는 무리하게 운전하여 이동하지 말고, 119 또는 112 등에 신고하거나 주변에 도움을 요청합니다.","고립된 지역에 있을 경우에는 무리하게 운전하여 이동하지 말고, 119 또는 112 등에 신고하거나 주변에 도움을 요청합니다.",대설 대설 대설 이후 대설,자연재난 국민행동요령
199,대설,대설 예보 시,"- 공사장, 비탈면이 있는 지역은 안전 상태를 미리 확인합니다.","공사장, 비탈면이 있는 지역은 안전 상태를 미리 확인합니다.",대설 대설 대설 예보 시 대설,자연재난 국민행동요령
200,대설,대설 특보 중,"- 공장, 시장 비가림 시설, 주거용 비닐하우스, 창고 등 가설 패널을 이용한 구조물은 쌓인눈의 무게에 취약하므로 직원들과 함께 안전한 곳으로 이동합니다.","공장, 시장 비가림 시설, 주거용 비닐하우스, 창고 등 가설 패널을 이용한 구조물은 쌓인눈의 무게에 취약하므로 직원들과 함께 안전한 곳으로 이동합니다.",대설 대설 대설 특보 중 대설,자연재난 국민행동요령
201,대설,대설 예보 시,- 긴급 상황 정보 수신을 위해 긴급 연락체계를 유지합니다.,긴급 상황 정보 수신을 위해 긴급 연락체계를 유지합니다.,대설 대설 대설 예보 시 대설,자연재난 국민행동요령
202,대설,대설 특보 중,"- 내 집 앞, 내 점포 앞 보행로와 지붕 및 옥상에 내린 눈은 가족이나 이웃과 함께 치워 사고를 예방합니다.","내 집 앞, 내 점포 앞 보행로와 지붕 및 옥상에 내린 눈은 가족이나 이웃과 함께 치워 사고를 예방합니다.",대설 대설 대설 특보 중 대설,자연재난 국민행동요령
203,대설,대설 사전준비,"- 내가 거주하거나 생활하는 지역의 눈사태, 붕괴위험시설물 등 재해위험요소는 과거 피해 자료를 통해서 사전에 가족이나 이웃과 함께 확인합니다.","내가 거주하거나 생활하는 지역의 눈사태, 붕괴위험시설물 등 재해위험요소는 과거 피해 자료를 통해서 사전에 가족이나 이웃과 함께 확인합니다.",대설 대설 대설 사전준비 대설,자연재난 국민행동요령
